Country Name,Country Code,Year,Proportion of seats held by women in national parliaments (%),ID,Economy,Code,Region,Income group,WBL Report Year,WBL INDEX,MOBILITY,Can a woman apply for a passport in the same way as a man?,Can a woman travel outside the country in the same way as a man?,Can a woman travel outside her home in the same way as a man?,Can a woman choose where to live in the same way as a man?,WORKPLACE,Can a woman get a job in the same way as a man?,Does the law prohibit discrimination in employment based on gender?,Is there legislation on sexual harassment in employment?,Are there criminal penalties or civil remedies for sexual harassment in employment?,PAY,Does the law mandate equal remuneration for work of equal value?,Can women work the same night hours as men?,Can women work in jobs deemed dangerous in the same way as men?,Are women able to work in the same industries as men?,MARRIAGE,Is there no legal provision that requires a married woman to obey her husband?,"Can a woman be ""head of household"" or ""head of family"" in the same way as a man?",Is there legislation specifically addressing domestic violence?,Can a woman obtain a judgment of divorce in the same way as a man?,Does a woman have the same rights to remarry as a man?,PARENTHOOD,Is paid leave of at least 14 weeks available to mothers?,Does the government administer 100% of maternity leave benefits?,Is there paid leave available to fathers?,Is there paid parental leave?,Is dismissal of pregnant workers prohibited?,ENTREPRENEURSHIP,Can a woman sign a contract in the same way as a man?,Can a woman register a business in the same way as a man?,Can a woman open a bank account in the same way as a man?,Does the law prohibit discrimination in access to credit based on gender?,ASSETS,Do men and women have equal ownership rights to immovable property?,Do sons and daughters have equal rights to inherit assets from their parents?,Do female and male surviving spouses have equal rights to inherit assets?,Does the law grant spouses equal administrative authority over assets during marriage?,Does the law provide for the valuation of nonmonetary contributions?,PENSION,Are the ages at which men and women can retire with full pension benefits equal?,Are the ages at which men and women can retire with partial pension benefits equal?,Is the mandatory retirement age for men and women equal?,Are periods of absence from work due to childcare accounted for in pension benefits?
Angola,AGO,1997,0.095454545,AGO1997,Angola,AGO,Sub-Saharan Africa,Lower middle income,1997,56.3,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,25,No,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Angola,AGO,1998,0.154545455,AGO1998,Angola,AGO,Sub-Saharan Africa,Lower middle income,1998,56.3,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,25,No,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Angola,AGO,1999,0.154545455,AGO1999,Angola,AGO,Sub-Saharan Africa,Lower middle income,1999,56.3,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,25,No,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Angola,AGO,2000,0.154545455,AGO2000,Angola,AGO,Sub-Saharan Africa,Lower middle income,2000,56.3,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,25,No,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Angola,AGO,2001,0.154545455,AGO2001,Angola,AGO,Sub-Saharan Africa,Lower middle income,2001,62.5,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Angola,AGO,2002,0.154545455,AGO2002,Angola,AGO,Sub-Saharan Africa,Lower middle income,2002,62.5,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Angola,AGO,2003,0.154545455,AGO2003,Angola,AGO,Sub-Saharan Africa,Lower middle income,2003,62.5,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Angola,AGO,2004,0.15,AGO2004,Angola,AGO,Sub-Saharan Africa,Lower middle income,2004,62.5,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Angola,AGO,2005,0.15,AGO2005,Angola,AGO,Sub-Saharan Africa,Lower middle income,2005,62.5,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Angola,AGO,2006,0.15,AGO2006,Angola,AGO,Sub-Saharan Africa,Lower middle income,2006,62.5,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
